RecordID,Age,Gender,City
AIA208,38,Male,Berlin
AAU20,34,Male,Berlin
AJY258,33,Male,Berlin
ABS44,30,Male,Berlin
BMD991,27,Male,Cologne
BTC1172,30,Male,Berlin
AKZ285,45,Female,Frankfurt
BRR1135,24,Male,Berlin
BIV905,27,Male,Berlin
AOU384,35,Male,Cologne
APU410,28,Male,Würzburg
AIF213,27,Male,Berlin
ASP483,28,Male,Berlin
BOF1045,36,Male,Munich
AJU254,31,Female,Berlin
AYA624,33,Male,Berlin
ANW360,25,Male,Berlin
BKC938,45,Male,Madrid
AGT175,33,Male,Berlin
AMP327,32,Male,Nürnberg
BDR771,39,Male,Berlin
AVB547,27,Male,Berlin
AXA598,39,Male,Hamburg
BFW828,30,Male,Hannover
BRF1123,27,Male,Munich
AUP535,35,Male,Munich
BTL1181,,,Berlin
AYE628,28,Male,Wolfsburg
AMG318,33,Diverse,Hamburg
BCM740,30,Male,Berlin
BCD731,28,Male,Munich
BEV801,42,Male,Berlin
BEP795,31,Male,Minsk
AIC210,25,Female,Munich
AVC548,33,Male,Berlin
AEQ120,28,Male,Munich
AUM532,37,Male,Berlin
BGX855,36,Male,Berlin
BPR1083,28,Female,Berlin
ALW308,35,Male,Berlin
BPD1069,26,Male,Munich
BVG1228,28,Male,Munich
ATA494,39,Male,Berlin
BNB1015,39,Male,Siegen
BUJ1205,26,Male,Berlin
BRM1130,29,Male,Berlin
BVL1233,33,Female,Munich
BSZ1169,32,Male,Berlin
AHX205,30,Female,Munich
AAN13,34,Male,Berlin
BUK1206,29,Male,Berlin
BQX1115,34,Male,Munich
BMM1000,39,Male,Berlin
ASM480,23,Male,Berlin
BHG864,32,Female,Berlin
ARB443,24,Male,Berlin
ANN351,30,Male,Berlin
BLD965,33,Male,Berlin
BPJ1075,38,Male,Berlin
BVU1242,32,Male,Munich
AYT643,27,Female,Berlin
BQC1094,32,Male,Hamburg
AWV593,30,Male,Berlin
BMA988,28,Male,Wolfsburg
BDQ770,27,Male,Bucharest
AWD575,31,Male,Berlin
BGA832,,Male,Hamburg
AQD419,28,Female,Berlin
BFS824,24,Male,Berlin
BHH865,30,Male,Berlin
BHM870,34,Male,Berlin
BSS1162,30,Female,Hamburg
AFY154,36,Female,Erlangen
BUU1216,30,Male,Berlin
BKV957,30,Male,Bielefeld
AVS564,30,Male,Berlin
BCO742,32,Female,Berlin
BQL1103,69,Male,Stuttgart
AVK556,39,Male,Berlin
ABJ35,33,Male,Berlin
BJC912,30,Female,Jena
ALA286,38,Male,Hamburg
AYQ640,49,Male,Munich
BKJ945,24,Male,Sofia
BVX1245,28,Male,Berlin
BHZ883,27,Male,Hamburg
BRS1136,34,Male,Cologne
AAX23,59,Male,Berlin
BBH709,29,Male,Düsseldorf
ATZ519,25,Male,Berlin
ATG500,26,Female,Berlin
BKZ961,,Male,Berlin
BWD1251,26,Male,Saarbrücken
BNP1029,35,Male,Berlin
ALM298,34,Male,Berlin
AQK426,31,Female,Frankfurt
BGS850,27,Male,Berlin
BDI762,34,Male,Hannover
AYH631,25,Female,Frankfurt
BFY830,26,Male,Berlin
AOO378,30,Male,Samara
BAK686,28,Male,Frankfurt
BBU722,32,Male,Berlin
BWE1252,26,Male,Berlin
ATW516,37,Male,Munich
BAT695,43,Male,Stuttgart
BOE1044,34,Male,Hamburg
AQM428,30,Female,Berlin
ALR303,34,Male,Berlin
ADK88,24,Male,Berlin
AOT383,41,Male,Berlin
BVR1239,38,Male,Munich
BHC860,29,Male,Munich
AUB521,30,Male,Berlin
AMX335,33,Male,Munich
AWM584,28,Female,Amsterdam
AVV567,30,Male,Berlin
ADF83,38,Male,Berlin
BMG994,38,Male,Munich
BCT747,34,Male,Berlin
BUC1198,36,Male,Regensburg
ABX49,31,Male,Berlin
ARY466,33,Male,Berlin
BKX959,24,Male,Berlin
AGZ181,46,Male,Berlin
ANH345,29,Male,Munich
AMQ328,29,Male,Bonn
ADT97,31,Female,Munich
AZL661,32,Female,Munich
ARK452,40,Female,Berlin
AZJ659,37,Male,Berlin
AFT149,28,Male,Berlin
AGK166,40,Male,Berlin
BSB1145,44,Male,Berlin
AJR251,31,Male,Berlin
BFZ831,37,Male,Walldorf
AQC418,,Male,Munich
ACN65,38,Male,Stuttgart
ADW100,26,Male,Munich
AYC626,31,Male,Munich
AAP15,31,Male,Wolfsburg
AKD263,34,Male,Munich
AUH527,28,Female,Berlin
AOW386,27,Male,Berlin
AAA0,26,Male,Munich
BIY908,29,Male,Berlin
ASF473,,,Berlin
BPW1088,31,Male,Berlin
AKJ269,34,Male,Leipzig
BBR719,33,Male,Berlin
ATT513,40,Male,Berlin
ATU514,24,Female,Berlin
AZQ666,32,Male,Cologne
BDJ763,30,Male,Berlin
BHL869,36,Male,Frankfurt
AXF603,41,Male,Berlin
AVN559,31,Male,Salzburg
AXM610,25,Male,Berlin
BRD1121,35,Male,Frankfurt
BIE888,42,Male,Berlin
AUO534,28,Male,Berlin
BGI840,25,Female,Munich
AEY128,31,Male,Berlin
AXH605,28,Female,Berlin
BSV1165,24,Male,Berlin
BLZ987,34,Male,Berlin
BFH813,42,Male,Friedrichshafen
AHU202,35,Male,Berlin
BGN845,29,Female,Berlin
BQJ1101,35,Male,Berlin
BMF993,29,Male,London
BFG812,25,Male,Marseille
BNV1035,30,Male,Heidelberg
AUD523,36,Female,Munich
BHS876,33,Male,Frankfurt
ATI502,33,Male,Munich
ADL89,29,Male,Berlin
BHE862,33,Male,Munich
AAC2,29,Male,Berlin
BQE1096,35,Male,Fr
BRN1131,35,Male,Berlin
AOR381,33,Male,Berlin
AGF161,36,Female,Munich
BTZ1195,31,Male,Berlin
BNG1020,32,Male,Innsbruck
BVV1243,32,Female,Munich
BKR953,29,Male,Helsinki
AYU644,31,Male,Frankfurt
BPT1085,37,,Munich
ABU46,28,Female,Berlin
AIT227,29,Male,Berlin
AJG240,31,Female,Stuttgart
BRH1125,34,Male,Munich
BBS720,44,Male,Kyiv
AYN637,38,Male,Munich
BJT929,35,Male,Berlin
BKD939,41,Male,Rome
ABZ51,28,Female,Berlin
AJF239,26,Female,Berlin
BUR1213,30,Male,Munich
AZB651,28,Male,Berlin
BBM714,32,Male,Paris
BAF681,32,Male,Berlin
AWK582,30,Male,Berlin
BVC1224,31,Male,Munich
BBQ718,47,Male,Bölingen
AVH553,27,Male,Berlin
BKH943,26,Male,Lisbon
AGP171,28,Male,Berlin
AML323,32,Male,Munich
AHJ191,30,Female,Berlin
BTF1175,33,Male,Berlin
AXX621,28,Male,Berlin
BSE1148,,,Frankfurt
BFN819,30,Male,Berlin
BGL843,40,Male,Berlin
AGD159,33,Male,Berlin
AMB313,29,Female,Munich
BET799,30,Female,Düsseldorf 
BUN1209,24,Female,Munich
ANU358,28,Male,Stuttgart
BCZ753,39,Male,Cologne
BIA884,33,Male,Berlin
BGE836,44,Male,Frankfurt
BST1163,27,Male,Munich
ACO66,32,Male,Berlin
BEH787,32,Male,Siegen
ATY518,39,Male,Berlin
ALJ295,32,Male,Berlin
AVA546,28,Male,Munich
BVE1226,27,Male,Munich
ARC444,24,Male,Tallinn
ABO40,29,Male,Berlin
BBJ711,41,Male,Munich
AGJ165,33,Female,Berlin
AJI242,29,Female,Stuttgart
ASY492,23,Male,Berlin
BKN949,27,Female,Munich
BDV775,34,Male,Berlin
BJU930,30,Male,Cracow
ACI60,39,Female,Berlin
BME992,35,Female,Munich
BFR823,31,Male,Berlin
ATF499,24,Male,Cologne
AFW152,30,Male,Berlin
ADA78,27,Male,Berlin
AAD3,28,Male,Berlin
BQU1112,32,Male,Munich
AJX257,36,Male,Nürnberg
BLP977,30,Male,Berlin
BMT1007,30,Male,Berlin
AHL193,33,Male,Berlin
BMC990,29,Male,Berlin
AQV437,26,Male,Berlin
AGB157,38,Male,Cologne
BAW698,33,Male,Düsseldorf 
ARH449,46,Male,Frankfurt
BPB1067,32,Male,Berlin
AMM324,36,Female,Berlin
BDZ779,31,Male,Berlin
ALC288,30,Male,Berlin
BPQ1082,45,Male,Stuttgart
BFO820,34,Male,Berlin
BSC1146,28,Male,Berlin
AZU670,28,Female,Munich
BOT1059,28,Male,Cologne
BVO1236,39,Male,Berlin
BHW880,31,Male,Berlin
BBT721,40,,Berlin
ASE472,31,Female,Berlin
BCN741,28,Male,Berlin
ANE342,32,Male,Munich
ADQ94,32,Female,Berlin
AGV177,34,Male,Berlin
BAZ701,43,Male,Berlin
ANO352,30,Male,Hamburg
BRX1141,35,Male,Munich
ANC340,,Male,Hamburg
BJM922,38,Female,Düsseldorf
BSF1149,40,Male,Berlin
BER797,30,Male,Berlin
BJE914,34,Male,City in Russia
ARN455,30,Male,Moscow
BOG1046,36,Male,Berlin
BBC704,30,Male,Stuttgart
BJN923,27,Male,Nürnberg
AFG136,35,Male,Munich
BAH683,26,Male,Berlin
AHA182,30,Male,Munich
BGG838,30,Male,Munich
ABA26,24,Male,Berlin
AEV125,41,Male,Munich
BLX985,34,Male,Munich
ACA52,29,Female,Berlin
BBD705,29,Male,Berlin
AUX543,40,Male,Munich
BNO1028,26,Male,Berlin
AGS174,46,Male,Munich
ALE290,41,Male,Munich
BFV827,27,Male,Berlin
AKB261,38,Male,Berlin
BNW1036,30,Male,Heidelberg
AAO14,28,Male,Berlin
BUA1196,36,Male,Amsterdam
BVQ1238,27,Male,Frankfurt
BPL1077,25,Male,Hamburg
AZH657,30,Male,Paderborn
AHZ207,43,Male,Berlin
AZD653,38,Male,Dublin 
ABK36,28,Female,Berlin
AGM168,28,Male,Munich
BJB911,38,Male,Berlin
BBB703,37,Male,Berlin
AFP145,26,Male,Münster
AXK608,29,Male,Berlin
ALP301,39,Male,Munich
BRU1138,37,Female,Hamburg
ADV99,30,Male,Berlin
BHX881,26,Male,Berlin
BRE1122,31,Male,Munich
AQP431,27,Male,Amsterdam
AME316,30,Male,Munich
ABM38,28,Male,Berlin
BAM688,28,Male,Karlsruhe
AKM272,41,Male,Munich
ADM90,29,Male,Berlin
BMJ997,29,Male,Karlsruhe
AOC366,24,Male,Aachen
BKF941,35,Male,Berlin
AXR615,32,Male,Amsterdam
BAO690,35,Male,Konstanz
AMS330,,,Munich
BMS1006,31,Male,Helsinki
BGU852,29,Male,Munich
ATS512,33,Male,Berlin
AOA364,29,Male,Berlin
AVJ555,29,Male,Berlin
APV411,28,Male,Berlin
BMU1008,30,Male,Munich
BOK1050,28,Male,Munich
BQB1093,27,Male,Frankfurt
BHA858,35,Male,Berlin
